start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(2, 249)","(237, 174)",0.018226358105039253,95,0.018226358105039253,0.005881885746248372,3.82257391631531e-07,"[(2, 249), (2, 0), (1, 1), (0, 2), (249, 3), (248, 4), (247, 5), (246, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (245, 246), (244, 245), (244, 244), (244, 243), (243, 242), (243, 241), (242, 240), (241, 239), (240, 238), (239, 237), (238, 236), (237, 235), (236, 234), (236, 233), (236, 232), (236, 231), (236, 230), (236, 229), (236, 228), (236, 227), (236, 226), (236, 225), (236, 224), (236, 223), (236, 222), (236, 221), (236, 220), (236, 219), (236, 218), (236, 217), (236, 216), (236, 215), (236, 214), (237, 213), (237, 212), (237, 211), (236, 210), (236, 209), (236, 208), (236, 207), (236, 206), (236, 205), (236, 204), (236, 203), (236, 202), (236, 201), (236, 200), (236, 199), (235, 198), (235, 197), (235, 196), (234, 195), (233, 194), (232, 193), (231, 192), (230, 191), (229, 190), (228, 189), (228, 188), (228, 187), (228, 186), (228, 185), (228, 184), (228, 183), (228, 182), (228, 181), (228, 180), (228, 179), (228, 178), (228, 177), (229, 176), (230, 175), (231, 174), (232, 173), (233, 172), (234, 171), (235, 172), (236, 173), (237, 174)]"
"(3, 13)","(2, 249)",0.0010007986302298377,15,0.0010007986302298377,0.0001114372200845537,1.3939542549529479e-09,"[(3, 13), (3, 12), (3, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (2, 249)]"
"(3, 13)","(4, 171)",0.012311418539297847,95,0.012311418539297847,0.000287664744405447,2.581485643493919e-08,"[(3, 13), (3, 12), (3, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (3, 224), (3, 223), (3, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (3, 210), (3, 209), (3, 208), (3, 207), (3, 206), (3, 205), (3, 204), (3, 203), (3, 202), (3, 201), (3, 200), (3, 199), (3, 198), (3, 197), (3, 196), (3, 195), (3, 194), (2, 193), (2, 192), (2, 191), (2, 190), (2, 189), (2, 188), (2, 187), (2, 186), (2, 185), (2, 184), (2, 183), (2, 182), (2, 181), (2, 180), (2, 179), (2, 178), (2, 177), (2, 176), (2, 175), (2, 174), (2, 173), (2, 172), (2, 171), (3, 170), (4, 171)]"
"(3, 13)","(88, 175)",0.01464032551893979,151,0.014657350776019484,0.000287664744405447,1.7561552066437004e-08,"[(3, 13), (3, 12), (3, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (3, 224), (3, 223), (3, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (3, 210), (3, 209), (3, 208), (3, 207), (3, 206), (3, 205), (3, 204), (3, 203), (3, 202), (3, 201), (3, 200), (3, 199), (3, 198), (4, 197), (5, 196), (6, 195), (7, 194), (8, 193), (9, 192), (10, 191), (11, 190), (12, 189), (13, 188), (14, 188), (15, 188), (16, 188), (17, 188), (18, 188), (19, 188), (20, 188), (21, 188), (22, 188), (23, 188), (24, 188), (25, 188), (26, 188), (27, 188), (28, 188), (29, 188), (30, 187), (31, 186), (32, 185), (33, 184), (34, 183), (35, 182), (36, 181), (37, 180), (38, 179), (39, 178), (40, 177), (41, 176), (42, 175), (43, 174), (44, 173), (45, 172), (46, 171), (47, 170), (48, 169), (49, 168), (50, 168), (51, 167), (52, 167), (53, 167), (54, 166), (55, 166), (56, 166), (57, 166), (58, 166), (59, 166), (60, 166), (61, 166), (62, 166), (63, 166), (64, 166), (65, 166), (66, 166), (67, 166), (68, 166), (69, 166), (70, 166), (71, 166), (72, 166), (73, 166), (74, 166), (75, 166), (76, 166), (77, 166), (78, 166), (79, 166), (80, 167), (81, 168), (82, 169), (83, 170), (84, 171), (85, 172), (86, 173), (87, 174), (88, 175)]"
"(3, 13)","(100, 1)",0.017722337029567825,103,0.017722337029567825,0.0003334663341547639,1.7793818913378625e-08,"[(3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (25, 14), (26, 14), (27, 14), (28, 14), (29, 14), (30, 14), (31, 14), (32, 14), (33, 13), (34, 13), (35, 13), (36, 13), (37, 13), (38, 13), (39, 13), (40, 13), (41, 13), (42, 13), (43, 13), (44, 12), (45, 12), (46, 12), (47, 12), (48, 13), (49, 13), (50, 13), (51, 13), (52, 13), (53, 14), (54, 14), (55, 14), (56, 15), (57, 16), (58, 17), (59, 17), (60, 18), (61, 19), (62, 20), (63, 20), (64, 20), (65, 20), (66, 20), (67, 20), (68, 20), (69, 19), (70, 19), (71, 18), (72, 18), (73, 18), (74, 17), (75, 17), (76, 16), (77, 16), (78, 15), (79, 15), (80, 15), (81, 14), (82, 14), (83, 13), (84, 12), (85, 12), (86, 12), (87, 11), (88, 11), (89, 11), (90, 11), (91, 11), (92, 11), (93, 11), (94, 11), (95, 10), (96, 9), (97, 8), (97, 7), (97, 6), (97, 5), (97, 4), (98, 3), (98, 2), (99, 1), (100, 1)]"
"(3, 13)","(147, 170)",0.015475284226226904,213,0.01721065351659945,0.000287664744405447,1.1870016419319091e-08,"[(3, 13), (3, 12), (3, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (3, 224), (3, 223), (3, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (3, 210), (3, 209), (3, 208), (3, 207), (3, 206), (3, 205), (3, 204), (3, 203), (3, 202), (3, 201), (3, 200), (3, 199), (3, 198), (4, 197), (5, 196), (6, 195), (7, 194), (8, 193), (9, 192), (10, 191), (11, 190), (12, 189), (13, 188), (14, 188), (15, 188), (16, 188), (17, 188), (18, 188), (19, 188), (20, 188), (21, 188), (22, 188), (23, 188), (24, 188), (25, 188), (26, 188), (27, 188), (28, 188), (29, 188), (30, 187), (31, 186), (32, 185), (33, 184), (34, 183), (35, 182), (36, 181), (37, 180), (38, 179), (39, 178), (40, 177), (41, 176), (42, 175), (43, 174), (44, 173), (45, 172), (46, 171), (47, 170), (48, 169), (49, 168), (50, 168), (51, 167), (52, 166), (53, 165), (54, 164), (55, 163), (56, 162), (57, 161), (58, 160), (59, 160), (60, 160), (61, 160), (62, 160), (63, 160), (64, 160), (65, 160), (66, 160), (67, 160), (68, 160), (69, 160), (70, 160), (71, 160), (72, 160), (73, 160), (74, 160), (75, 160), (76, 160), (77, 160), (78, 160), (79, 160), (80, 160), (81, 160), (82, 160), (83, 160), (84, 160), (85, 160), (86, 160), (87, 160), (88, 160), (89, 160), (90, 160), (91, 160), (92, 160), (93, 160), (94, 160), (95, 160), (96, 160), (97, 160), (98, 160), (99, 160), (100, 160), (101, 160), (102, 160), (103, 160), (104, 160), (105, 160), (106, 160), (107, 160), (108, 160), (109, 160), (110, 160), (111, 160), (112, 160), (113, 160), (114, 160), (115, 160), (116, 160), (117, 160), (118, 160), (119, 161), (120, 162), (121, 163), (122, 164), (123, 165), (124, 166), (125, 167), (126, 168), (126, 169), (126, 170), (126, 171), (127, 172), (128, 172), (129, 172), (130, 172), (131, 172), (132, 172), (133, 172), (134, 172), (135, 172), (136, 171), (137, 171), (138, 170), (139, 169), (140, 168), (141, 168), (142, 167), (143, 167), (144, 167), (145, 168), (146, 169), (147, 170)]"
"(3, 13)","(148, 32)",0.011189858633315453,131,0.01181806896533999,0.006035345027044059,2.8100004009264674e-07,"[(3, 13), (2, 13), (1, 13), (0, 13), (249, 12), (248, 11), (247, 10), (246, 9), (245, 8), (245, 7), (245, 6), (245, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (244, 246), (243, 245), (242, 244), (241, 243), (240, 242), (239, 241), (238, 240), (237, 239), (236, 239), (235, 239), (234, 239), (233, 239), (232, 239), (231, 239), (230, 239), (229, 239), (228, 239), (227, 239), (226, 240), (225, 241), (224, 242), (223, 243), (222, 244), (221, 245), (220, 246), (219, 247), (218, 248), (217, 249), (217, 0), (216, 1), (215, 2), (214, 3), (213, 4), (212, 5), (211, 6), (210, 7), (209, 8), (208, 9), (207, 10), (206, 11), (205, 12), (204, 13), (203, 14), (202, 15), (202, 16), (202, 17), (202, 18), (202, 19), (202, 20), (202, 21), (202, 22), (202, 23), (202, 24), (202, 25), (202, 26), (202, 27), (202, 28), (201, 29), (200, 30), (199, 31), (198, 32), (197, 33), (196, 34), (195, 35), (194, 36), (193, 37), (192, 38), (191, 38), (190, 38), (189, 38), (188, 38), (187, 38), (186, 38), (185, 38), (184, 38), (183, 38), (182, 38), (181, 38), (180, 38), (179, 38), (178, 38), (177, 38), (176, 38), (175, 38), (174, 38), (173, 38), (172, 38), (171, 38), (170, 38), (169, 38), (168, 38), (167, 38), (166, 38), (165, 38), (164, 38), (163, 38), (162, 38), (161, 38), (160, 38), (159, 38), (158, 38), (157, 38), (156, 38), (155, 37), (154, 36), (153, 35), (152, 34), (151, 33), (150, 32), (149, 31), (148, 32)]"
"(3, 13)","(150, 249)",0.014034216659297272,117,0.014406336225761152,0.006035345027044059,3.1721053491226163e-07,"[(3, 13), (2, 13), (1, 13), (0, 13), (249, 12), (248, 11), (247, 10), (246, 9), (245, 8), (245, 7), (245, 6), (245, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (245, 246), (244, 245), (243, 244), (242, 243), (241, 242), (240, 241), (239, 240), (238, 239), (237, 238), (236, 238), (235, 238), (234, 238), (233, 238), (232, 238), (231, 238), (230, 238), (229, 238), (228, 238), (227, 238), (226, 238), (225, 238), (224, 238), (223, 238), (222, 238), (221, 238), (220, 238), (219, 238), (218, 238), (217, 238), (216, 239), (215, 240), (214, 241), (213, 242), (212, 243), (211, 244), (210, 245), (209, 246), (208, 247), (207, 248), (206, 249), (206, 0), (205, 1), (204, 2), (203, 3), (202, 4), (201, 5), (200, 6), (199, 7), (198, 8), (197, 9), (196, 10), (195, 11), (194, 12), (193, 13), (192, 14), (191, 15), (190, 16), (189, 17), (188, 18), (187, 19), (186, 20), (185, 21), (184, 22), (183, 22), (182, 22), (181, 22), (180, 22), (179, 22), (178, 22), (177, 22), (176, 21), (175, 20), (174, 19), (173, 18), (172, 17), (171, 16), (170, 15), (169, 14), (168, 13), (167, 12), (166, 11), (165, 10), (164, 9), (163, 8), (162, 7), (161, 6), (160, 5), (159, 4), (158, 3), (157, 2), (156, 2), (155, 1), (154, 0), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(3, 13)","(172, 67)",0.010492399924714846,143,0.011102310486649003,0.006035345027044059,2.6548107648012904e-07,"[(3, 13), (2, 13), (1, 13), (0, 13), (249, 12), (248, 11), (247, 10), (246, 9), (245, 8), (245, 7), (245, 6), (245, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (244, 246), (243, 245), (242, 244), (241, 243), (240, 242), (239, 241), (238, 240), (237, 239), (236, 239), (235, 239), (234, 239), (233, 239), (232, 239), (231, 239), (230, 239), (229, 239), (228, 240), (227, 241), (226, 242), (225, 243), (224, 244), (223, 245), (222, 246), (221, 247), (220, 248), (219, 249), (219, 0), (218, 1), (217, 2), (216, 3), (215, 4), (214, 5), (213, 6), (212, 7), (211, 8), (210, 9), (209, 10), (208, 11), (207, 12), (206, 13), (205, 14), (204, 15), (204, 16), (204, 17), (204, 18), (204, 19), (204, 20), (204, 21), (204, 22), (204, 23), (204, 24), (204, 25), (204, 26), (204, 27), (204, 28), (204, 29), (204, 30), (204, 31), (204, 32), (204, 33), (204, 34), (204, 35), (204, 36), (204, 37), (204, 38), (204, 39), (204, 40), (204, 41), (204, 42), (204, 43), (204, 44), (204, 45), (204, 46), (204, 47), (204, 48), (204, 49), (204, 50), (203, 51), (202, 52), (201, 53), (200, 52), (199, 52), (198, 52), (197, 52), (196, 52), (195, 52), (194, 52), (193, 52), (192, 52), (191, 52), (190, 52), (189, 52), (188, 52), (187, 52), (186, 52), (185, 52), (184, 52), (183, 52), (182, 52), (181, 52), (180, 52), (179, 52), (178, 52), (177, 52), (176, 52), (175, 52), (174, 52), (173, 52), (172, 53), (171, 54), (170, 55), (169, 56), (168, 57), (167, 58), (166, 59), (165, 60), (166, 61), (167, 62), (168, 63), (169, 64), (170, 65), (171, 66), (172, 67)]"
"(3, 13)","(235, 249)",0.006849358163208308,20,0.006874336706800932,0.006030261390151281,1.9296941566630797e-06,"[(3, 13), (2, 13), (1, 13), (0, 13), (249, 13), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (235, 249)]"
"(3, 13)","(236, 12)",0.006825480601605705,27,0.006825480601605705,0.006030261390151281,1.4232177443662342e-06,"[(3, 13), (2, 13), (1, 13), (0, 13), (249, 13), (248, 13), (247, 13), (246, 13), (245, 12), (244, 11), (243, 10), (242, 9), (241, 8), (240, 7), (239, 6), (238, 5), (237, 4), (236, 4), (235, 4), (234, 5), (233, 6), (233, 7), (233, 8), (233, 9), (234, 10), (235, 11), (236, 12)]"
